Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Jordan Neil Greenidge,Slough Town FC,783,Centre Forward,Right Centre Forward,England,26,0.11,0.28,50,0,0.06,0.92,0.11,0,0,1.03,3.79,1.15,4.14,3.33,3.1,0.46,52,0,15.63,3.1,0.11,59,0.69,65,5.63,5.52,0,50
Jordan Ngalo,Salisbury,983,Right Defensive Midfielder,Left Defensive Midfielder,England,27,0,0.04,13,0.18,0.06,0.92,1.01,0.64,64,1.1,1.19,1.65,5.86,5.22,14.64,3.11,69,0.09,12.54,3.66,0.92,77,5.12,97,10.34,0.46,14,50
Jordan Norville-Williams,Dorking Wanderers FC,840,Left Centre Back,Left Back,England,26,0,0.01,0,0,0.02,0.32,1.93,1.71,89,1.18,1.18,3.75,5.14,5.89,19.07,3.86,72,0.11,9.96,2.04,1.18,68,5.57,96,6.43,0.96,25,17
Jordan Ragguette,Maidenhead United,1512,Left Back,Left Wing Back,St. Vincent and the Grenadines,25,0,0.02,25,0.12,0.12,1.01,1.13,0.48,42,0.71,1.19,3.69,7.08,5.95,10.89,2.68,55,0,11.37,2.68,1.01,60,6.13,94,8.39,0.54,50,32
Jordan Thomas,Torquay United,1981,Right Back,Right Wing Back,England,25,0,0.02,11,0.14,0.06,0.86,0.68,0.45,67,0.82,1.14,2.73,5,5.18,9.81,2.41,46,0.05,12.63,3.41,0.86,70,5,95,9.95,1.68,30,33
Jordan Thompson,Tonbridge Angels FC,392,Left Centre Back,Centre Back,England,27,0,0,,0,0.04,0.23,0,0,,0.46,0,6.66,2.07,1.84,10.56,0.23,67,0,3.67,0.23,0,59,0.69,100,0.92,1.15,0,
Jordan Thompson,Hemel Hempstead Town,643,Right Centre Back,Left Centre Back,England,27,0,0.12,50,0,0.06,0.14,0.14,0,0,0.14,0.56,4.9,4.76,3.36,13.99,1.4,44,0,6.58,1.54,0.98,65,1.12,97,1.4,1.26,0,
Jordan Tillson,Bath City,2409,Right Defensive Midfielder,Centre Defensive Midfielder,England,33,0.04,0.02,20,0,0.02,0.45,0.15,0.11,75,0.67,0.56,2.65,11.66,6.8,16.7,3.25,57,0,18.08,4.93,1.64,65,3.47,96,6.09,0.64,5,17
Jordan Young,Torquay United,2495,Right Wing,Right Midfielder,Scotland,26,0.51,0.31,43,0.25,0.2,1.73,2.38,1.33,56,2.56,2.78,0.4,5.34,4.51,8.3,1.88,32,0.04,12.77,3.93,1.05,68,4.22,88,12.23,4.98,22,26
Jordi van Stappershoef,Maidenhead United,2579,Goalkeeper,,Netherlands,30,0,0,,0,0,0,0.03,0.03,100,0,0,0,0.03,3.94,4.19,0,,0.03,0.07,0,0,45,1.95,100,0.87,0,0,
Josh Castiglione,Chelmsford City,951,Left Centre Midfielder,Left Back,England,29,0.09,0.04,20,0,0.08,0.85,0.76,0.47,63,0.66,0.95,2.74,7.47,5.49,9.93,2.27,32,0.09,14.47,2.93,0.85,59,3.59,95,8.42,1.23,15,28
Josh Coley,Ebbsfleet United,1490,Left Centre Forward,Left Attacking Midfielder,England,27,0.12,0.28,35,0.12,0.07,0.91,2.11,1.27,60,2.3,2.72,0.72,9.55,5.86,7.19,1.27,24,0,20.84,4.83,1.39,74,2.36,84,11.78,6.46,11,27
Josh Hare,AFC Hornchurch,2195,Right Back,Right Centre Back,England,31,0,0.01,9,0.12,0.16,1.07,0.08,0.04,50,0.25,0.45,3.53,4.43,4.18,11.65,2.26,50,0,8.78,2.34,0.78,62,6.48,98,9.31,0.9,45,35
Josh Popoola,Maidenhead United,2108,Centre Attacking Midfielder,Right Wing,England,22,0.3,0.19,41,0.43,0.3,2.22,3.42,2.39,70,3.97,3.37,0.38,6.79,6.19,7.3,1.71,35,0,15.41,4.44,1.67,66,2.95,86,10.16,3.97,35,33
Josh Rees,AFC Hornchurch,2206,Right Defensive Midfielder,Right Centre Midfielder,England,32,0.16,0.3,30,0.16,0.08,0.78,0.41,0.29,70,1.26,0.98,1.26,8.4,7.3,13.66,3.14,46,0,14.97,4.57,1.75,68,2.53,91,6.53,4.04,8,44
